"ID";"Lagerort";"x_Koordinate";"y_Koordinate";"z_Koordinate"; 
"111";"0";"4150";"5200";"2075"; 
"112";"0";"4550";"5200";"2075"; 
"113";"0";"4950";"5200";"2075"; 
"114";"0";"5350";"5200";"2075"; 
"115";"0";"5750";"5200";"2075"; 
"116";"0";"6150";"5200";"2075"; 
"117";"0";"6550";"5200";"2075"; 
"118";"0";"6950";"5200";"2075"; 
"119";"0";"7350";"5200";"2075"; 
"120";"0";"7750";"5200";"2075"; 
"121";"0";"150";"6100";"2075"; 
"122";"0";"550";"6100";"2075"; 
"123";"0";"950";"6100";"2075"; 
"124";"0";"1350";"6100";"2075"; 
"125";"0";"1750";"6100";"2075"; 
"126";"0";"2150";"6100";"2075"; 
"127";"0";"2550";"6100";"2075"; 
"128";"0";"2950";"6100";"2075"; 
"129";"0";"3350";"6100";"2075"; 
"130";"0";"3750";"6100";"2075"; 
"131";"0";"4150";"6100";"2075"; 
"132";"0";"4550";"6100";"2075"; 
"133";"0";"4950";"6100";"2075"; 
"134";"0";"5350";"6100";"2075"; 
"135";"0";"5750";"6100";"2075"; 
"136";"0";"6150";"6100";"2075"; 
"137";"0";"6550";"6100";"2075"; 
"138";"0";"6950";"6100";"2075"; 
"139";"0";"7350";"6100";"2075"; 
"140";"0";"7750";"6100";"2075"; 
"141";"0";"150";"7100";"2075"; 
"142";"0";"550";"7100";"2075"; 
"143";"0";"950";"7100";"2075"; 
"144";"0";"1350";"7100";"2075"; 
"145";"0";"1750";"7100";"2075"; 
"146";"0";"2150";"7100";"2075"; 
"147";"0";"2550";"7100";"2075"; 
"148";"0";"2950";"7100";"2075"; 
"149";"0";"3350";"7100";"2075"; 
"150";"0";"3750";"7100";"2075"; 
"151";"0";"4150";"7100";"2075"; 
"152";"0";"4550";"7100";"2075"; 
"153";"0";"4950";"7100";"2075"; 
"154";"0";"5350";"7100";"2075"; 
"155";"0";"5750";"7100";"2075"; 
"156";"0";"6150";"7100";"2075"; 
"157";"0";"6550";"7100";"2075"; 
"158";"0";"6950";"7100";"2075"; 
"159";"0";"7350";"7100";"2075"; 
"160";"0";"7750";"7100";"2075"; 
"161";"0";"150";"8000";"2075"; 
"162";"0";"550";"8000";"2075"; 
"163";"0";"950";"8000";"2075"; 
"164";"0";"1350";"8000";"2075"; 
"165";"0";"1750";"8000";"2075"; 
"166";"0";"2150";"8000";"2075"; 
"167";"0";"2550";"8000";"2075"; 
"168";"0";"2950";"8000";"2075"; 
"169";"0";"3350";"8000";"2075"; 
"170";"0";"3750";"8000";"2075"; 
"171";"0";"4150";"8000";"2075"; 
"172";"0";"4550";"8000";"2075"; 
"173";"0";"4950";"8000";"2075"; 
"174";"0";"5350";"8000";"2075"; 
"175";"0";"5750";"8000";"2075"; 
"176";"0";"6150";"8000";"2075"; 
"177";"0";"6550";"8000";"2075"; 
"178";"0";"6950";"8000";"2075"; 
"179";"0";"7350";"8000";"2075"; 
"180";"0";"7750";"8000";"2075"; 
"181";"0";"150";"9000";"2075"; 
"182";"0";"550";"9000";"2075"; 
"183";"0";"950";"9000";"2075"; 
"184";"0";"1350";"9000";"2075"; 
"185";"0";"1750";"9000";"2075"; 
"186";"0";"2150";"9000";"2075"; 
"187";"0";"2550";"9000";"2075"; 
"188";"0";"2950";"9000";"2075"; 
"189";"0";"3350";"9000";"2075"; 
"190";"0";"3750";"9000";"2075"; 
"191";"0";"4150";"9000";"2075"; 
"192";"0";"4550";"9000";"2075"; 
"193";"0";"4950";"9000";"2075"; 
"194";"0";"5350";"9000";"2075"; 
"195";"0";"5750";"9000";"2075"; 
"196";"0";"6150";"9000";"2075"; 
"197";"0";"6550";"9000";"2075"; 
"198";"0";"6950";"9000";"2075"; 
"199";"0";"7350";"9000";"2075"; 
"200";"0";"7750";"9000";"2075"; 
"201";"0";"150";"400";"2325"; 
"202";"0";"550";"400";"2325"; 
"203";"0";"950";"400";"2325"; 
"204";"0";"1350";"400";"2325"; 
"205";"0";"1750";"400";"2325"; 
"206";"0";"2150";"400";"2325"; 
"207";"0";"2550";"400";"2325"; 
"208";"0";"2950";"400";"2325"; 
"209";"0";"3350";"400";"2325"; 
"210";"0";"3750";"400";"2325"; 
"211";"0";"4150";"400";"2325"; 
"212";"0";"4550";"400";"2325"; 
"213";"0";"4950";"400";"2325"; 
"214";"0";"5350";"400";"2325"; 
"215";"0";"5750";"400";"2325"; 
"216";"0";"6150";"400";"2325"; 
"217";"0";"6550";"400";"2325"; 
"218";"0";"6950";"400";"2325"; 
"219";"0";"7350";"400";"2325"; 
"220";"0";"7750";"400";"2325"; 
"221";"0";"150";"1400";"2325"; 
"222";"0";"550";"1400";"2325"; 
"223";"0";"950";"1400";"2325"; 
"224";"0";"1350";"1400";"2325"; 
"225";"0";"1750";"1400";"2325"; 
"226";"0";"2150";"1400";"2325"; 
"227";"0";"2550";"1400";"2325"; 
"228";"0";"2950";"1400";"2325"; 
"229";"0";"3350";"1400";"2325"; 
"230";"0";"3750";"1400";"2325"; 
"231";"0";"4150";"1400";"2325"; 
"232";"0";"4550";"1400";"2325"; 
"233";"0";"4950";"1400";"2325"; 
"234";"0";"5350";"1400";"2325"; 
"235";"0";"5750";"1400";"2325"; 
"236";"0";"6150";"1400";"2325"; 
"237";"0";"6550";"1400";"2325"; 
"238";"0";"6950";"1400";"2325"; 
"239";"0";"7350";"1400";"2325"; 
"240";"0";"7750";"1400";"2325"; 
"241";"0";"150";"2300";"2325"; 
"242";"0";"550";"2300";"2325"; 
"243";"0";"950";"2300";"2325"; 
"244";"0";"1350";"2300";"2325"; 
"245";"0";"1750";"2300";"2325"; 
"246";"0";"2150";"2300";"2325"; 
"247";"0";"2550";"2300";"2325"; 
"248";"0";"2950";"2300";"2325"; 
"249";"0";"3350";"2300";"2325"; 
"250";"0";"3750";"2300";"2325"; 
"251";"0";"4150";"2300";"2325"; 
"252";"0";"4550";"2300";"2325"; 
"253";"0";"4950";"2300";"2325"; 
"254";"0";"5350";"2300";"2325"; 
"255";"0";"5750";"2300";"2325"; 
"256";"0";"6150";"2300";"2325"; 
"257";"0";"6550";"2300";"2325"; 
"258";"0";"6950";"2300";"2325"; 
"259";"0";"7350";"2300";"2325"; 
"260";"0";"7750";"2300";"2325"; 
"261";"0";"150";"3300";"2325"; 
"262";"0";"550";"3300";"2325"; 
"263";"0";"950";"3300";"2325"; 
"264";"0";"1350";"3300";"2325"; 
"265";"0";"1750";"3300";"2325"; 
"266";"0";"2150";"3300";"2325"; 
"267";"0";"2550";"3300";"2325"; 
"268";"0";"2950";"3300";"2325"; 
"269";"0";"3350";"3300";"2325"; 
"270";"0";"3750";"3300";"2325"; 
"271";"0";"4150";"3300";"2325"; 
"272";"0";"4550";"3300";"2325"; 
"273";"0";"4950";"3300";"2325"; 
"274";"0";"5350";"3300";"2325"; 
"275";"0";"5750";"3300";"2325"; 
"276";"0";"6150";"3300";"2325"; 
"277";"0";"6550";"3300";"2325"; 
